#原料	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%	占比%
α-松油醇	8.0%	7.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	7.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	8.0%	7.0%	7.0%	7.0%	7.0%
乙酸香叶酯		1.0%							0.5%	1.0%	1.0%																			0.5%	1.0%	1.0%	1.0%
乙酸苄酯	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%	6.0%
乙酸芳樟醇		1.0%							0.5%	1.0%	1.0%																			0.5%	1.0%	1.0%	1.0%
苯乙醛(50%)	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%
γ-十一内酯	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%	4.0%
乙酸苯乙酯	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%	1.0%
佳乐麝香		1.6%													0.5%	1.0%	1.6%															0.8%	1.6%
#总量	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%
头香剂	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	5	5	5	5	5	5	5	5	5	5	5
头香新鲜天然	2	5	3	4	5	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	3	4	5	5	5	5	5	5	5	5
头香透发扩散	2	5	2	2	2	3	4	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	5	5	5	5	5
主香剂	2	5	2	3	3	2	2	2	3	4	5	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	5	5	5
主香层次丰富	2	5	2	2	2	2	2	2	2	2	2	3	4	5	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	5
底香定香剂	2	5	2	3	3	2	2	2	2	2	2	2	2	2	3	4	5	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	5
底香持久留香	2	5	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	4	5	2	2	2	2	2	2	3	4	5	5	5	5	5
不含26过敏原	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
